car_name,brand,car_model,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota Carina DX 1991,Toyota,Carina,1991,Automatic,Saloon,"CNG, Octane",1500,99564 km,Rs 260000
Toyota Corolla 100 Lx limited 1991,Toyota,Corolla,1991,Automatic,Saloon,"CNG, Octane",1500,135000 km,Rs 365000
Toyota Sprinter EE 90 1991,Toyota,Sprinter,1991,Manual,Saloon,"CNG, Octane",1300,134000 km,Rs 160000
Toyota Carina Myroad 1992,Toyota,Carina,1992,Automatic,Saloon,"CNG, Octane",1500,69000 km,Rs 250000
Toyota Corolla Ae 100 1992,Toyota,Corolla,1992,Automatic,Saloon,"CNG, Octane",1490,88000 km,Rs 430000
Toyota Corolla Se Limited All Auto 1992,Toyota,Corolla,1992,Automatic,Saloon,"CNG, Octane",1500,293000 km,Rs 360000
Toyota Mark II All Auto 1992,Toyota,Mark II,1992,Automatic,Saloon,"CNG, Octane",2000,114000 km,Rs 155000
Toyota Sprinter a100 1992,Toyota,Sprinter,1992,Automatic,Saloon,"CNG, Octane",1331,198521 km,Rs 265000
Toyota Sprinter 100 1992,Toyota,Sprinter,1992,Automatic,Saloon,"CNG, Octane",1331,95000 km,Rs 280000
Toyota Carina ed 1993,Toyota,Carina,1993,Automatic,Saloon,"CNG, Octane",1900,120000 km,Rs 230000
Toyota Corolla AE110 1993,Toyota,Corolla,1993,Automatic,Saloon,"CNG, Octane",1500,195000 km,Rs 495000
Toyota Corsa G 1993,Toyota,Corsa,1993,Automatic,Saloon,"CNG, Octane",1331,149967 km,Rs 395000
Toyota AC Limited 1993,Toyota,Other Model,1993,Automatic,Saloon,"CNG, Octane",1500,95000 km,Rs 330000
Toyota Carina SX 1994,Toyota,Carina,1994,Automatic,Saloon,"CNG, Octane",1500,91000 km,Rs 465000
Toyota Corona option auto 1994,Toyota,Corona,1994,Automatic,Saloon,"CNG, Octane",1500,95000 km,Rs 395000
Toyota Carina Sx documents update 1995,Toyota,Carina,1995,Automatic,Saloon,"CNG, Octane",1500,80000 km,Rs 364000
Toyota Corolla 110 1995,Toyota,Corolla,1995,Automatic,Saloon,"CNG, Octane",1331,150000 km,Rs 380000
Toyota Corolla AE-100 LX Limited 1995,Toyota,Corolla,1995,Automatic,Saloon,"CNG, Octane",1500,85000 km,Rs 430000
Toyota Corolla 1990,Toyota,Corolla,1995,Manual,Saloon,"CNG, Octane",1500,134000 km,Rs 270000
Toyota Corsa S 1995,Toyota,Corsa,1995,Automatic,Saloon,"CNG, Octane",1331,120000 km,Rs 330000
Toyota Corsa ax 1995,Toyota,Corsa,1995,Automatic,Saloon,"CNG, Octane",1331,150000 km,Rs 320000
Toyota Vista 1995,Toyota,Other Model,1995,Automatic,Saloon,"CNG, Octane",1830,70000 km,Rs 400000
Toyota Corolla Hundred 111 1996,Toyota,Corolla,1996,Automatic,Saloon,"CNG, Octane",1331,40000 km,Rs 365000
Toyota Corona PREMIO RED 1996,Toyota,Corona,1996,Automatic,Saloon,"CNG, Octane",1600,78000 km,Rs 499000
Toyota Corona Premio 1996,Toyota,Corona,1996,Automatic,Saloon,"CNG, Octane",1586,86025 km,Rs 495000
Toyota Carina T.I-SUPER FRESH 1997,Toyota,Carina,1997,Automatic,Saloon,"CNG, Octane",1500,78000 km,Rs 635000
Toyota Corolla 111 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1331,96000 km,Rs 420000
Toyota Corolla 111 SE 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1331,75400 km,Rs 499000
Toyota Corolla 110 XE Saloon 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,117328 km,Rs 550000
Toyota Corolla XE-Saloon 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1331,68452 km,Rs 555000
Toyota Corolla AE 110 XE SALOON 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,79000 km,Rs 545000
Toyota Corolla 110-SE vintage 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,69000 km,Rs 550000
Toyota Corolla 2002 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,280000 km,Rs 450000
Toyota Corolla Color Gery 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,65000 km,Rs 650000
Toyota Corolla Octane&CNG 110 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,56000 km,Rs 650000
Toyota Corolla SE Saloon 110 1997,Toyota,Corolla,1997,Automatic,Saloon,"CNG, Octane",1500,850000 km,Rs 575000
Toyota Corona primio 1997,Toyota,Corona,1997,Automatic,Saloon,"CNG, Octane",1580,95000 km,Rs 420000
Toyota Corona Premio 1997,Toyota,Corona,1997,Automatic,Saloon,"CNG, Octane",1600,95000 km,Rs 490000
Toyota Carina TI 1998,Toyota,Carina,1998,Automatic,Saloon,"CNG, Octane",1500,70000 km,Rs 650000
Toyota Corolla 110 1998,Toyota,Corolla,1998,Automatic,Saloon,"CNG, Octane",1500,125885 km,Rs 570000
Toyota Corolla 1998,Toyota,Corolla,1998,Automatic,Saloon,"CNG, Octane",1331,50000 km,Rs 540000
Toyota Carina 1994,Toyota,Carina,1999,Automatic,Saloon,"CNG, Octane",1500,136000 km,Rs 395000
Toyota Corolla option auto 1999,Toyota,Corolla,1999,Automatic,Saloon,"CNG, Octane",1500,96000 km,Rs 565000
Toyota Corolla 110 XE SELON G 1999,Toyota,Corolla,1999,Automatic,Saloon,"CNG, Octane",1331,57000 km,Rs 385000
Toyota Corolla xe salon-1999 1999,Toyota,Corolla,1999,Automatic,Saloon,"CNG, Octane",1331,87965 km,Rs 485000
Toyota Corolla XE-Saloon 1999,Toyota,Corolla,1999,Automatic,Saloon,"CNG, Octane",1500,72458 km,Rs 635000
Toyota Corolla Se Salon 2000,Toyota,Corolla,2000,Automatic,Saloon,"CNG, Octane",1500,74500 km,Rs 595000
Toyota Corolla XE- Saloon 2000,Toyota,Corolla,2000,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 625000
Toyota Corolla white 2000,Toyota,Corolla,2000,Automatic,Saloon,"CNG, Octane",1600,152000 km,Rs 580000
Toyota Corolla 110 2000,Toyota,Corolla,2000,Automatic,Saloon,"CNG, Octane",1500,95000 km,Rs 675000
Toyota Corolla 110 L-SELECTION 2000,Toyota,Corolla,2000,Automatic,Saloon,"CNG, Octane",1500,82500 km,Rs 700000
Toyota Corona premio 2000,Toyota,Corona,2000,Automatic,Saloon,"CNG, Octane",1500,75000 km,Rs 730000
Toyota Sprinter nice conditions 2000,Toyota,Sprinter,2000,Automatic,Saloon,"CNG, Octane",1331,75000 km,Rs 650000
Toyota Sprinter -Vintage 2000,Toyota,Sprinter,2000,Automatic,Saloon,"CNG, Octane",1331,75000 km,Rs 650000
Toyota Vista 1994,Toyota,Vista,2000,Automatic,Saloon,"CNG, Octane",1800,198000 km,Rs 485000
Toyota Corolla 100 Wagon 2001,Toyota,Corolla,2001,Automatic,Saloon,"CNG, Octane",1331,97846 km,Rs 350000
Toyota Corona G 2001,Toyota,Corona,2001,Automatic,Saloon,"CNG, Octane",1600,95000 km,Rs 510000
Toyota Corsa 1996,Toyota,Corsa,2001,Manual,Saloon,"CNG, Octane",1331,82000 km,Rs 350000
Toyota Allion A15 2002,Toyota,Allion,2002,Automatic,Saloon,"CNG, Octane",1500,115221 km,Rs 950000
Toyota Corolla x 2002,Toyota,Corolla,2002,Automatic,Saloon,"CNG, Octane",1500,90000 km,Rs 780000
Toyota Corolla G 2002,Toyota,Corolla,2002,Automatic,Saloon,"CNG, Octane",1500,85749 km,Rs 925000
Toyota Corolla x 2002,Toyota,Corolla,2002,Automatic,Saloon,"CNG, Octane",1500,65000 km,Rs 850000
Toyota Corolla G 2002,Toyota,Corolla,2002,Automatic,Saloon,"CNG, Octane",1500,72000 km,Rs 890000
Toyota Premio F 2002,Toyota,Premio,2002,Automatic,Saloon,"CNG, Octane",1500,68532 km,Rs 970000
Toyota Premio FL Limited 2002,Toyota,Premio,2002,Automatic,Saloon,"CNG, Octane",1500,63000 km,Rs 1130000
Toyota Premio F 2002,Toyota,Premio,2002,Automatic,Saloon,"CNG, Octane",1500,218609 km,Rs 1200000
Toyota Allion a15 2003,Toyota,Allion,2003,Automatic,Saloon,"CNG, Octane",1500,56745 km,Rs 1190000
